,job_titles,Creation date,employer,Job_Type,CountryName,Region
116,Junior Business Engineer (m/d/w) (Data Engineer),2023-05-24,Deutsche Bahn AG,Full-time,Germany , Frankfurt am Main
116,Junior Business Engineer (m/d/w) (Data Engineer),2023-05-24,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt 
116,Junior Business Engineer (m/d/w) (Data Engineer),2023-05-24,Deutsche Bahn AG,Full-time,Germany ,Berlin 
116,Junior Business Engineer (m/d/w) (Data Engineer),2023-05-24,Deutsche Bahn AG,Full-time,Germany ,Erfurt
116,Junior Business Engineer (m/d/w) (Data Engineer),2023-05-24,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
117,System Engineer Netzwerk (m/w/d) (Data Engineer),2023-05-22,SIGNAL IDUNA Krankenversicheru ng a. G.,Full-time,Germany , Hamburg
118,Data Engineer Data Analytics und Intelligence (w/m/d) (Data Scientist),2023-05-30,Deutsche Bahn AG,Full-time,Germany , Frankfurt am Main
118,Data Engineer Data Analytics und Intelligence (w/m/d) (Data Scientist),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
119,Azure Data Factory & Spark Data Engineer (w|m|d) (Data Scientist),2023-10-05,BridgingIT GmbH,Full-time,Germany , Frankfurt am Main
119,Azure Data Factory & Spark Data Engineer (w|m|d) (Data Scientist),2023-10-05,BridgingIT GmbH,Full-time,Germany ,Kreisfreie Stadt 
119,Azure Data Factory & Spark Data Engineer (w|m|d) (Data Scientist),2023-10-05,BridgingIT GmbH,Full-time,Germany ,Köln
119,Azure Data Factory & Spark Data Engineer (w|m|d) (Data Scientist),2023-10-05,BridgingIT GmbH,Full-time,Germany ,Kreisfreie Stadt 
119,Azure Data Factory & Spark Data Engineer (w|m|d) (Data Scientist),2023-10-05,BridgingIT GmbH,Full-time,Germany ,Stuttgart
119,Azure Data Factory & Spark Data Engineer (w|m|d) (Data Scientist),2023-10-05,BridgingIT GmbH,Full-time,Germany ,Stadtkreis 
119,Azure Data Factory & Spark Data Engineer (w|m|d) (Data Scientist),2023-10-05,BridgingIT GmbH,Full-time,Germany ,Schwerin
119,Azure Data Factory & Spark Data Engineer (w|m|d) (Data Scientist),2023-10-05,BridgingIT GmbH,Full-time,Germany ,Kreisfreie Stadt 
119,Azure Data Factory & Spark Data Engineer (w|m|d) (Data Scientist),2023-10-05,BridgingIT GmbH,Full-time,Germany ,München
119,Azure Data Factory & Spark Data Engineer (w|m|d) (Data Scientist),2023-10-05,BridgingIT GmbH,Full-time,Germany ,Kreisfreie Stadt 
119,Azure Data Factory & Spark Data Engineer (w|m|d) (Data Scientist),2023-10-05,BridgingIT GmbH,Full-time,Germany ,Mannheim
119,Azure Data Factory & Spark Data Engineer (w|m|d) (Data Scientist),2023-10-05,BridgingIT GmbH,Full-time,Germany ,Stadtkreis 
119,Azure Data Factory & Spark Data Engineer (w|m|d) (Data Scientist),2023-10-05,BridgingIT GmbH,Full-time,Germany ,Hamburg 
119,Azure Data Factory & Spark Data Engineer (w|m|d) (Data Scientist),2023-10-05,BridgingIT GmbH,Full-time,Germany ,Berlin 
