job_titles,Creation date,employer,location,Job_Type
Azure Data Engineer / Scientist (m/w/d) (Data Engineer),30/05/2023,TIMETOACT GROUP GmbH,"Germany : Fürth, Kreisfreie Stadt","Part-time,"
Data Engineer | Personalization & Recommendation (f/m/x) (Data Engineer),30/05/2023,RTL Deutschland GmbH,"Germany : Köln, Kreisfreie Stadt",Full-time
Data Engineer - ETL / Airflow (m/w/d) (Data Engineer),28/05/2023,E.ON Energie Deutschland GmbH,"Germany : Essen, Kreisfreie Stadt",Full-time
Senior DevOps/Data Engineer (w/m/d) (Data Engineer),27/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Data Engineer - Machine Learning (m/f/d) (Data Engineer),19/05/2023,Ratepay GmbH,Germany : Berlin,Full-time
Computer Vision Data Engineer (m/f/d) (Data Engineer),17/05/2023,Energy Robotics,"Germany : Darmstadt, Kreisfreie Stadt",Full-time
Social Media Data Engineer (m/w/d) (Data Engineer),17/05/2023,Pro Technology GmbH,"Germany : Dresden, Kreisfreie Stadt","Flexible,"
SAP BW Data Engineer (m/w/d) (Data Engineer),16/05/2023,Stiegelmeyer GmbH & Co. KG,Germany : Herford,Full-time
Data Engineer Betrieb Fernverkehr (m/d/w) (Data Engineer),16/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
BI Developer/ Data Engineer (m/w/d) (Data Engineer),15/05/2023,U.N.P. - HRSolutions GmbH,Germany : Hamburg,Full-time
Business Intelligence Data Engineer (w/m/d) (Data Engineer),15/05/2023,HUK-COBURG Versicherungsgruppe,"Germany : Coburg, Kreisfreie Stadt",Full-time
Data Engineer Power Platform (w/m/d) (Data Engineer),15/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Senior Data Engineer Azure (w/m/d) (Data Engineer),15/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Senior Cloud Data Engineer (m/w/d) (Data Engineer),15/05/2023,Deutsche Telekom AG Konzernzentrale,"Germany : Hamburg , Esslingen , Wolfsburg, Kreisfreie Stadt , Region Hannover , Nürnberg, Kreisfreie Stadt , Berlin , Bonn, Kreisfreie Stadt",Full-time
